NM_MUN,SIGLA_UF,latitude,longitude
Porto do Mangue,RN,-5.088333758016447,-36.84151554772635
Serra Caiada,RN,-6.109228006091859,-35.72352906475378
Pureza,RN,-5.407298175366266,-35.58214546604268
Rafael Fernandes,RN,-6.196813816414157,-38.22374236158474
Rafael Godeiro,RN,-6.069078389202545,-37.730220620022955
Riacho da Cruz,RN,-5.923592655569629,-37.96643314122064
Riacho de Santana,RN,-6.277005731529652,-38.33612539882285
Riachuelo,RN,-5.798442704198406,-35.84958980700841
Rodolfo Fernandes,RN,-5.858496361653887,-38.08092807508683
Tibau,RN,-4.888374244947732,-37.320987738351455
Ruy Barbosa,RN,-5.856862983002537,-35.940517848305795
Santa Cruz,RN,-6.248263104738504,-36.006487009896425
Santana do Matos,RN,-5.904370366788027,-36.63462418289164
Santana do Seridó,RN,-6.73224333300265,-36.76513023853596
Santo Antônio,RN,-6.3394807968643825,-35.5054050173178
São Bento do Norte,RN,-5.144132900705548,-35.989062580500665
São Bento do Trairí,RN,-6.3832213288561155,-36.04846836293584
São Fernando,RN,-6.3213598203449495,-37.15115716834477
São Francisco do Oeste,RN,-5.985178997193631,-38.183790929641155
São Gonçalo do Amarante,RN,-5.7877440282081105,-35.36480782572074
São João do Sabugi,RN,-6.690420138397858,-37.18850679871479
São José de Mipibu,RN,-6.064009786600435,-35.28941581382105
São José do Campestre,RN,-6.3011258222494595,-35.740173888743
São José do Seridó,RN,-6.486639202269072,-36.85850365075313
São Miguel,RN,-6.214365173858952,-38.474284812077244
São Miguel do Gostoso,RN,-5.194005162117954,-35.737198479759
São Paulo do Potengi,RN,-5.934043756253199,-35.75443043997602
São Pedro,RN,-5.892565618937445,-35.63033250340839
São Rafael,RN,-5.837405096515866,-36.878511243469
São Tomé,RN,-5.988218358002132,-36.12857507691563
São Vicente,RN,-6.207687231948669,-36.65981684145803
Senador Elói de Souza,RN,-6.04126555716889,-35.68249226729193
Senador Georgino Avelino,RN,-6.157871838229359,-35.12140539038004
Serra de São Bento,RN,-6.428641796734382,-35.71893417828936
Serra do Mel,RN,-5.171294753985492,-37.02422558531907
Serra Negra do Norte,RN,-6.587382641992546,-37.3600259081518
Serrinha,RN,-6.255128579839218,-35.57436038515191
Serrinha dos Pintos,RN,-6.144496303753136,-37.993069144660254
Severiano Melo,RN,-5.769197846557117,-37.97270836063185
Sítio Novo,RN,-6.087969311486411,-35.92730347422603
Taboleiro Grande,RN,-5.935842718102123,-38.05115332074993
Taipu,RN,-5.596712104265689,-35.58520534562829
Tangará,RN,-6.216985627719728,-35.835292616428234
Tenente Ananias,RN,-6.440618072771985,-38.163888332719296
Tenente Laurentino Cruz,RN,-6.1590864230277615,-36.72269630707263
Tibau do Sul,RN,-6.241689447775855,-35.09981743353656
Timbaúba dos Batistas,RN,-6.477694841174128,-37.2472068891017
Touros,RN,-5.281023525163549,-35.60797839235247
Triunfo Potiguar,RN,-5.918396836697889,-37.15155209660336
Umarizal,RN,-5.991984562790731,-37.83261069208492
Upanema,RN,-5.610105256696173,-37.29196656907443
Várzea,RN,-6.3514599763738655,-35.36839191243771
Venha-Ver,RN,-6.3207193490387175,-38.52677981034214
Vera Cruz,RN,-6.037195750285013,-35.43552833029329
Viçosa,RN,-5.987057050350252,-37.95502448704782
Vila Flor,RN,-6.302819410861283,-35.087062378400766
